incident_id,event_id,incident_type,assigned_to,status,response_time,resolution
INC00001,EVT00001,SQL Injection,Analyst-1,Closed,60,Blocked
INC00002,EVT00002,SQL Injection,Analyst-2,Open,10,Blocked
INC00003,EVT00003,Brute Force,Charlie,Closed,30,Blocked
INC00004,EVT00004,Unauthorized Access,Analyst-1,Open,10,Blocked
INC00005,EVT00005,Phishing,Charlie,Open,20,Blocked
INC00006,EVT00006,DDoS,Analyst-2,Closed,15,Investigating
INC00007,EVT00007,DDoS,Bob,In Progress,15,Escalated
INC00008,EVT00008,Malware,Analyst-2,In Progress,15,Mitigated
INC00009,EVT00009,Brute Force,Analyst-2,Open,60,Blocked
INC00010,EVT00010,Unauthorized Access,SOC Team,In Progress,10,Escalated
INC00011,EVT00011,Brute Force,Eve,Open,5,Escalated
INC00012,EVT00012,Unauthorized Access,SOC Team,Closed,15,Escalated
INC00013,EVT00013,SQL Injection,Eve,Closed,10,Resolved
INC00014,EVT00014,Brute Force,David,Open,5,Mitigated
INC00015,EVT00015,SQL Injection,Charlie,In Progress,5,Mitigated
INC00016,EVT00016,Brute Force,Analyst-2,Closed,10,Mitigated
INC00017,EVT00017,Malware,David,Closed,5,Investigating
INC00018,EVT00018,SQL Injection,SOC Team,In Progress,10,Blocked
INC00019,EVT00019,Malware,David,Closed,30,Investigating
INC00020,EVT00020,Brute Force,David,Open,30,Blocked
INC00021,EVT00021,SQL Injection,Bob,Closed,30,Resolved
INC00022,EVT00022,DDoS,Bob,Open,5,Blocked
INC00023,EVT00023,Port Scan,David,Open,5,Resolved
INC00024,EVT00024,DDoS,Charlie,Open,10,Mitigated
INC00025,EVT00025,Ransomware,Bob,In Progress,30,Escalated
INC00026,EVT00026,Brute Force,Eve,Open,20,Mitigated
INC00027,EVT00027,Phishing,Bob,Open,5,Blocked
INC00028,EVT00028,SQL Injection,Eve,Closed,45,Escalated
INC00029,EVT00029,SQL Injection,Analyst-2,Open,10,Mitigated
INC00030,EVT00030,Unauthorized Access,Analyst-2,Open,30,Escalated
INC00031,EVT00031,DDoS,Analyst-2,Open,30,Mitigated
INC00032,EVT00032,Port Scan,Analyst-1,In Progress,15,Mitigated
INC00033,EVT00033,Port Scan,David,In Progress,60,Mitigated
INC00034,EVT00034,Brute Force,Alice,In Progress,20,Blocked
INC00035,EVT00035,Port Scan,Analyst-1,Closed,60,Resolved
INC00036,EVT00036,Port Scan,Charlie,In Progress,10,Blocked
INC00037,EVT00037,SQL Injection,Alice,Closed,45,Escalated
INC00038,EVT00038,Port Scan,Analyst-1,Closed,20,Blocked
INC00039,EVT00039,Unauthorized Access,Analyst-2,In Progress,5,Investigating
INC00040,EVT00040,Unauthorized Access,Bob,Closed,10,Escalated
INC00041,EVT00041,DDoS,Analyst-2,Closed,60,Mitigated
INC00042,EVT00042,Ransomware,Bob,In Progress,60,Resolved
INC00043,EVT00043,Malware,Eve,Closed,5,Blocked
INC00044,EVT00044,Brute Force,Analyst-1,Closed,15,Mitigated
INC00045,EVT00045,Brute Force,Alice,Closed,60,Mitigated
INC00046,EVT00046,Ransomware,Eve,Closed,10,Mitigated
INC00047,EVT00047,DDoS,Charlie,Open,10,Blocked
INC00048,EVT00048,Port Scan,Alice,Closed,45,Investigating
INC00049,EVT00049,Phishing,Alice,In Progress,30,Escalated
INC00050,EVT00050,Port Scan,Bob,In Progress,5,Escalated
INC00051,EVT00051,Ransomware,David,In Progress,45,Investigating
INC00052,EVT00052,Ransomware,Charlie,Closed,45,Mitigated
INC00053,EVT00053,SQL Injection,SOC Team,Closed,10,Escalated
INC00054,EVT00054,Ransomware,Alice,Open,30,Escalated
INC00055,EVT00055,Port Scan,Analyst-2,In Progress,5,Resolved
INC00056,EVT00056,DDoS,David,Closed,60,Mitigated
INC00057,EVT00057,DDoS,Analyst-1,Closed,60,Investigating
INC00058,EVT00058,SQL Injection,David,Closed,10,Escalated
INC00059,EVT00059,Ransomware,Analyst-2,Closed,30,Mitigated
INC00060,EVT00060,Phishing,SOC Team,In Progress,45,Escalated
INC00061,EVT00061,Unauthorized Access,Analyst-2,Closed,5,Blocked
INC00062,EVT00062,SQL Injection,Bob,In Progress,10,Investigating
INC00063,EVT00063,Brute Force,Analyst-2,In Progress,30,Resolved
INC00064,EVT00064,Brute Force,Analyst-2,In Progress,45,Escalated
INC00065,EVT00065,SQL Injection,Alice,Open,60,Resolved
INC00066,EVT00066,Phishing,SOC Team,In Progress,45,Resolved
INC00067,EVT00067,Unauthorized Access,David,Closed,15,Blocked
INC00068,EVT00068,Malware,Bob,Closed,60,Investigating
INC00069,EVT00069,Malware,Alice,Closed,60,Mitigated
INC00070,EVT00070,DDoS,Alice,Closed,20,Resolved
INC00071,EVT00071,SQL Injection,SOC Team,Open,30,Investigating
INC00072,EVT00072,Unauthorized Access,Eve,Closed,45,Escalated
INC00073,EVT00073,SQL Injection,David,Open,60,Resolved
INC00074,EVT00074,SQL Injection,Eve,Closed,5,Investigating
INC00075,EVT00075,Ransomware,SOC Team,Closed,30,Blocked
INC00076,EVT00076,Brute Force,SOC Team,In Progress,10,Investigating
INC00077,EVT00077,SQL Injection,Eve,Closed,45,Mitigated
INC00078,EVT00078,SQL Injection,Analyst-2,Open,15,Mitigated
INC00079,EVT00079,Ransomware,Bob,Open,5,Escalated
INC00080,EVT00080,Brute Force,Charlie,In Progress,60,Escalated
INC00081,EVT00081,Ransomware,SOC Team,Open,15,Mitigated
INC00082,EVT00082,SQL Injection,Charlie,Open,15,Mitigated
INC00083,EVT00083,Unauthorized Access,Bob,Open,60,Investigating
INC00084,EVT00084,Port Scan,Charlie,Closed,45,Escalated
INC00085,EVT00085,Phishing,Alice,Open,20,Investigating
INC00086,EVT00086,Phishing,David,Open,45,Escalated
INC00087,EVT00087,Port Scan,Charlie,Closed,10,Mitigated
INC00088,EVT00088,Unauthorized Access,SOC Team,In Progress,30,Escalated
INC00089,EVT00089,Phishing,Alice,Open,15,Blocked
INC00090,EVT00090,Unauthorized Access,Alice,Closed,45,Investigating
INC00091,EVT00091,Phishing,David,In Progress,5,Resolved
INC00092,EVT00092,Malware,Analyst-1,Open,20,Escalated
INC00093,EVT00093,Malware,Analyst-2,In Progress,45,Escalated
INC00094,EVT00094,SQL Injection,Analyst-2,In Progress,5,Investigating
INC00095,EVT00095,Malware,Analyst-2,In Progress,15,Investigating
INC00096,EVT00096,Ransomware,David,Closed,60,Blocked
INC00097,EVT00097,Ransomware,David,Closed,30,Mitigated
INC00098,EVT00098,Malware,Analyst-1,In Progress,60,Escalated
INC00099,EVT00099,Port Scan,David,In Progress,20,Resolved
INC00100,EVT00100,Brute Force,Alice,Closed,15,Escalated
INC00101,EVT00101,Malware,Eve,In Progress,60,Mitigated
INC00102,EVT00102,Port Scan,Alice,In Progress,60,Investigating
INC00103,EVT00103,Unauthorized Access,Analyst-1,Closed,20,Investigating
INC00104,EVT00104,SQL Injection,Eve,Closed,20,Mitigated
INC00105,EVT00105,Port Scan,SOC Team,In Progress,15,Resolved
INC00106,EVT00106,SQL Injection,Analyst-2,Closed,20,Escalated
INC00107,EVT00107,Ransomware,Bob,Open,45,Mitigated
INC00108,EVT00108,Brute Force,Alice,Open,45,Mitigated
INC00109,EVT00109,Unauthorized Access,Alice,Open,30,Blocked
INC00110,EVT00110,Port Scan,Bob,Open,30,Blocked
INC00111,EVT00111,DDoS,Analyst-2,In Progress,5,Mitigated
INC00112,EVT00112,Phishing,SOC Team,Closed,10,Blocked
INC00113,EVT00113,SQL Injection,Bob,Closed,20,Resolved
INC00114,EVT00114,Malware,David,Open,15,Resolved
INC00115,EVT00115,SQL Injection,Alice,Closed,5,Blocked
INC00116,EVT00116,Unauthorized Access,Alice,Open,10,Blocked
INC00117,EVT00117,Ransomware,David,Open,20,Mitigated
INC00118,EVT00118,Brute Force,Alice,Closed,20,Mitigated
