incident_id,event_id,incident_type,assigned_to,status,response_time,resolution
INC00001,EVT00001,Failed Login,Mark Harris,Closed,46 min,Remediated
INC00002,EVT00002,Suspicious Process Execution,Kyle Stephenson,Open,170 min,Under Investigation
INC00003,EVT00003,Port Scan,Anthony Reynolds,In Progress,13 min,Under Investigation
INC00004,EVT00004,Lateral Movement Detected,Crystal Costa,Escalated,3 min,Escalated to Management
INC00005,EVT00005,VPN Connection,Christopher Garner,Closed,113 min,Remediated
INC00006,EVT00006,Suspicious Process Execution,Cassandra Quinn,Closed,13 min,Blocked
INC00007,EVT00007,Session Hijacking Attempt,Austin Parks,Open,95 min,Under Investigation
INC00008,EVT00008,Account Lockout,Lisa Smith,Escalated,50 min,Escalated to Management
INC00009,EVT00009,Credential Dumping,Christopher Garner,Open,167 min,Under Investigation
INC00010,EVT00010,Login Success,Brian Banks,In Progress,45 min,Under Investigation
INC00011,EVT00011,Login Success,Mark Harris,Closed,78 min,False Positive
INC00012,EVT00012,Malware Detection,Ricky Blackwell,Escalated,2 min,Escalated to IT Security Lead
INC00013,EVT00013,Web Shell Detected,Jaime Parsons,Closed,170 min,Remediated
INC00014,EVT00014,Phishing Email,Mark Harris,Closed,108 min,False Positive
INC00015,EVT00015,VPN Connection,Jacqueline Scott,In Progress,153 min,Under Investigation
INC00016,EVT00016,SQL Injection Attempt,Sheila Morris,In Progress,43 min,Under Investigation
INC00017,EVT00017,VPN Connection,Dakota Walsh,In Progress,107 min,Under Investigation
INC00018,EVT00018,DDoS Attempt,Emily Jackson,Closed,13 min,Blocked
INC00019,EVT00019,Login Success,Dr. Jacob Rowe DDS,Escalated,169 min,Escalated to Management
INC00020,EVT00020,Credential Dumping,Anthony Reynolds,Closed,37 min,Blocked
INC00021,EVT00021,Firewall Rule Change,Allen Wood,Escalated,46 min,Escalated to Management
INC00022,EVT00022,Port Scan,Jaime Parsons,Closed,64 min,Blocked
INC00023,EVT00023,Malware Detection,Christopher Garner,Closed,131 min,Blocked
INC00024,EVT00024,Unauthorized Access,David Jones,Closed,137 min,Remediated
INC00025,EVT00025,SQL Injection Attempt,Dakota Walsh,Closed,95 min,Blocked
INC00026,EVT00026,Unauthorized Access,Dawn Walsh,Escalated,117 min,Escalated to IT Security Lead
INC00027,EVT00027,Phishing Email,Mark Harris,Closed,153 min,Blocked
INC00028,EVT00028,DNS Tunneling Detected,Brian Ford,Escalated,43 min,Escalated to IT Security Lead
INC00029,EVT00029,Ransomware Detected,Crystal Costa,Closed,62 min,False Positive
INC00030,EVT00030,Login Success,David Jones,Closed,144 min,Blocked
INC00031,EVT00031,Login Success,Kyle Stephenson,Closed,40 min,Remediated
INC00032,EVT00032,Ransomware Detected,Brian Ford,Closed,69 min,Remediated
INC00033,EVT00033,Failed Login,Brian Banks,Closed,80 min,Blocked
INC00034,EVT00034,Account Lockout,Jennifer Payne,Closed,126 min,Blocked
INC00035,EVT00035,Data Exfiltration Attempt,Brian Ford,In Progress,171 min,Under Investigation
INC00036,EVT00036,Phishing Email,David Jones,Closed,64 min,Blocked
INC00037,EVT00037,Brute Force,Dakota Walsh,Closed,174 min,Blocked
INC00038,EVT00038,Brute Force,Christopher Garner,Closed,112 min,Remediated
INC00039,EVT00039,Privilege Escalation,Sheila Morris,In Progress,103 min,Under Investigation
INC00040,EVT00040,Suspicious Process Execution,Mark Harris,Open,94 min,Under Investigation
INC00041,EVT00041,Phishing Email,Derek Wagner,Closed,65 min,False Positive
INC00042,EVT00042,Lateral Movement Detected,Cassandra Quinn,In Progress,104 min,Under Investigation
INC00043,EVT00043,Configuration Change,Robert Frost,In Progress,38 min,Under Investigation
INC00044,EVT00044,DDoS Attempt,Mark Harris,In Progress,173 min,Under Investigation
INC00045,EVT00045,Login Success,Megan Pitts,Closed,168 min,Blocked
INC00046,EVT00046,Suspicious Process Execution,Crystal Costa,Closed,76 min,Remediated
INC00047,EVT00047,Failed Login,Crystal Costa,Escalated,70 min,Escalated to Management
INC00048,EVT00048,Unauthorized Access,Sheila Morris,Closed,36 min,Blocked
INC00049,EVT00049,SQL Injection Attempt,Jesus Nielsen,Closed,130 min,Blocked
INC00050,EVT00050,Port Scan,Katelyn Harris,In Progress,102 min,Under Investigation
INC00051,EVT00051,Data Exfiltration Attempt,Christina Hartman,In Progress,45 min,Under Investigation
INC00052,EVT00052,Phishing Email,Jack Davis,Closed,115 min,Remediated
INC00053,EVT00053,Login Success,Robert Frost,Closed,24 min,Remediated
INC00054,EVT00054,Credential Dumping,Derek Wagner,Closed,142 min,Remediated
INC00055,EVT00055,Port Scan,Lori Blevins,Closed,151 min,Remediated
INC00056,EVT00056,Port Scan,Katherine Cook,Open,113 min,Pending Review
INC00057,EVT00057,Firewall Rule Change,Darius Hernandez,Open,53 min,Pending Review
INC00058,EVT00058,File Access,Christopher Garner,Closed,34 min,Blocked
INC00059,EVT00059,SQL Injection Attempt,Kyle Stephenson,Escalated,44 min,Escalated to IT Security Lead
INC00060,EVT00060,Malware Detection,David Gibson,Closed,145 min,Remediated
