indicator_id,indicator_type,indicator_value,threat_name,threat_actor,confidence,severity
IOC00001,Email Address,richard45@example.net,Ransomware,Nation-State Actor (Unattributed),Medium,Medium
IOC00002,URL,http://www.smith.net/tags/tagsmain.htm,Brute Force,Threat Group Charlie,High,High
IOC00003,Domain,weeks.info,Cryptojacking,Threat Group Bravo,High,High
IOC00004,Domain,hall.org,SQL Injection Campaign,Script Kiddie,High,Low
IOC00005,URL,https://www.rodriguez-hall.net/list/categories/tagsterms.php,Ransomware,Threat Group Bravo,Medium,High
IOC00006,File Hash (SHA256),24cf0c48c9a54defbfae03bb11da6ac1298204b69c9c7110792e57df0502c4e9,Rootkit,Unknown,High,Medium
IOC00007,IP Address,43.141.168.72,Cryptojacking,Threat Group Bravo,Medium,High
IOC00008,File Hash (SHA256),26ae9454232494b055894da72d87a1c89246aaecb32a9a68882be86372c3aeaf,Ransomware,Organized Crime Syndicate,High,Medium
IOC00009,Email Address,keithjohnson@example.net,Phishing,Threat Group Charlie,Medium,Low
IOC00010,Email Address,jordanjason@example.net,Rootkit,Threat Group Charlie,Low,Medium
IOC00011,URL,https://richardson-phillips.biz/tag/wp-contentindex.html,Cryptojacking,Threat Group Charlie,Low,High
IOC00012,IP Address,142.43.177.106,Keylogger,Anonymous Group,High,Low
IOC00013,URL,http://www.lee.com/posts/blogpost.php,Malware,Threat Group Alpha,Low,Low
IOC00014,Email Address,isantos@example.net,Cryptojacking,Threat Group Charlie,High,Medium
IOC00015,Domain,perez-johnson.net,Malware,Script Kiddie,High,Medium
IOC00016,IP Address,209.191.14.197,Botnet,Nation-State Actor (Unattributed),Low,High
IOC00017,IP Address,42.226.107.58,Malware,Organized Crime Syndicate,High,High
IOC00018,IP Address,42.238.79.74,Worm,Hacktivist Collective,High,Critical
IOC00019,Email Address,dweeks@example.org,Brute Force,Threat Group Charlie,Low,High
IOC00020,Email Address,lukeellis@example.org,Malware,Unknown,High,Low
IOC00021,Email Address,richardsonjoseph@example.org,Keylogger,Threat Group Charlie,High,High
IOC00022,IP Address,29.218.100.143,Phishing,Hacktivist Collective,Medium,High
IOC00023,IP Address,212.238.96.209,Trojan,Anonymous Group,Medium,Medium
IOC00024,URL,https://www.strickland-johnson.net/wp-contentauthor.asp,SQL Injection Campaign,Nation-State Actor (Unattributed),Medium,High
IOC00025,File Hash (SHA256),87a4f8c7a95c2b3c69529b5a6fdb90aea26173b1bee905219861127ccc9baa8d,DDoS,Unknown,Medium,Medium
IOC00026,Domain,harmon-cook.com,Backdoor,Threat Group Alpha,High,Critical
IOC00027,Email Address,danielle34@example.com,Brute Force,Insider Threat,Medium,High
IOC00028,IP Address,20.127.164.21,Brute Force,Unknown,Low,Low
IOC00029,Email Address,wwhite@example.com,SQL Injection Campaign,Anonymous Group,High,Medium
IOC00030,URL,https://www.lloyd-king.com/app/categories/categoriesmain.php,Spyware,Script Kiddie,Low,High
IOC00031,Email Address,abrennan@example.org,Malware,Threat Group Bravo,Medium,High
IOC00032,IP Address,185.115.24.56,Phishing,Script Kiddie,Medium,Medium
IOC00033,URL,http://www.bell.com/blog/category/tagabout.php,Phishing,Organized Crime Syndicate,Medium,Medium
IOC00034,URL,https://www.james.net/blog/mainterms.html,SQL Injection Campaign,Anonymous Group,Medium,High
IOC00035,Email Address,owatkins@example.com,Malware,Insider Threat,Low,High
IOC00036,Email Address,charlene61@example.org,Worm,Threat Group Alpha,High,Low
IOC00037,IP Address,197.147.118.68,Keylogger,Anonymous Group,Low,High
IOC00038,Domain,pierce-hamilton.com,SQL Injection Campaign,Script Kiddie,High,Medium
IOC00039,URL,https://www.smith.com/explore/tag/tagshomepage.php,Adware,Nation-State Actor (Unattributed),Medium,Medium
IOC00040,Email Address,reynoldschristina@example.net,Keylogger,Threat Group Bravo,High,Medium
IOC00041,Domain,knight.com,Brute Force,Nation-State Actor (Unattributed),Low,Medium
IOC00042,IP Address,205.202.47.146,DDoS,Threat Group Bravo,Low,Medium
IOC00043,File Hash (SHA256),99fe9c62ba76175e2f7e7f75ea6e4ed25e0cf8e3156a18c15beec417666ad5d8,Worm,Anonymous Group,Medium,Low
IOC00044,Email Address,jbrown@example.org,DDoS,Threat Group Alpha,Medium,Medium
IOC00045,URL,https://www.buchanan.com/exploreindex.php,SQL Injection Campaign,Insider Threat,Medium,Medium
IOC00046,Email Address,bethany99@example.com,DDoS,Threat Group Bravo,Low,Low
IOC00047,File Hash (SHA256),7cd64c84fdeda27b2b251a9baef09af9d4d26d67b341004dabe35b15b0bc838c,Trojan,Organized Crime Syndicate,Medium,High
IOC00048,IP Address,147.60.217.116,Backdoor,Threat Group Alpha,Low,High
IOC00049,File Hash (SHA256),5225fbd6231184c637d15db0ca0b91394c21f49a63323cc3ce73e71e572652fa,Phishing,Threat Group Alpha,Low,Low
IOC00050,IP Address,176.125.141.110,Backdoor,Nation-State Actor (Unattributed),Low,Low
IOC00051,Email Address,danielle19@example.net,Cryptojacking,Nation-State Actor (Unattributed),Medium,High
IOC00052,IP Address,177.184.60.173,Spyware,Threat Group Charlie,Medium,High
IOC00053,Email Address,rodriguezmatthew@example.com,Ransomware,Threat Group Charlie,High,Low
IOC00054,IP Address,215.35.55.200,Trojan,Insider Threat,Low,Critical
IOC00055,File Hash (SHA256),c1bded672ca7482f12b90a15493b56c7ecec1cfccf12d155bb827fc23073adef,Backdoor,Threat Group Bravo,High,Medium
IOC00056,IP Address,164.241.142.162,Backdoor,Nation-State Actor (Unattributed),High,Critical
IOC00057,URL,https://www.fox.org/appfaq.jsp,Keylogger,Unknown,Low,Medium
IOC00058,File Hash (SHA256),2bb3522ad621bceac9a1d7b20e4a166b155cbaecc7311c5236af6f3fb933f7cc,Backdoor,Threat Group Alpha,Medium,Medium
IOC00059,URL,https://www.peterson-nelson.com/explore/wp-content/categoryprivacy.php,Cryptojacking,Organized Crime Syndicate,Low,High
IOC00060,Domain,watkins-hill.com,Worm,Threat Group Alpha,Medium,Low
IOC00061,URL,http://rivers-ramirez.info/search/categoriesfaq.jsp,SQL Injection Campaign,Unknown,High,Medium
IOC00062,File Hash (SHA256),50b2cdbf0fdd550671ae09198adfb6428270638e785447528886e2de5313c2cd,DDoS,Organized Crime Syndicate,Low,Medium
IOC00063,Domain,kerr.com,Trojan,Nation-State Actor (Unattributed),High,Medium
IOC00064,IP Address,213.218.92.126,Trojan,Organized Crime Syndicate,High,Medium
IOC00065,URL,http://smith.com/wp-content/categories/searchmain.php,Worm,Threat Group Bravo,High,Medium
IOC00066,URL,http://smith.info/searchregister.php,Adware,Threat Group Bravo,Low,High
IOC00067,IP Address,31.14.255.18,Brute Force,Insider Threat,High,High
IOC00068,File Hash (SHA256),7125f51cc04bca91796b745421eb8e46d79017adc31593028e4a9a52fbc827d0,Phishing,Anonymous Group,Medium,High
IOC00069,Email Address,robertbuchanan@example.org,SQL Injection Campaign,Threat Group Bravo,Low,Low
IOC00070,IP Address,222.111.13.16,Brute Force,Script Kiddie,Medium,Critical
IOC00071,URL,http://lewis.net/app/categoryterms.html,Backdoor,Nation-State Actor (Unattributed),Low,Low
